id,recruiter_id,title,description,location,contract_type,department,salary_min,salary_max,requirements,benefits,status,application_deadline,created_at,updated_at,profile,categorie_metier,date_limite,reporting_line,job_grade,salary_note,start_date,responsibilities
737260aa-b155-443f-b21d-58bcbf8d151a,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Technique Eau,Pilotage technique global - Assurer la continuite et la qualite des services d'eau potable et d'assainissement,Libreville,CDI avec periode d'essai,Eau,,,BAC + 5 Ingenieur en genie de l'eau environnement genie civil,,active,,2025-08-22 11:16:51.722979+00,2025-08-22 11:16:51.722979+00,BAC + 5 Ingenieur en genie de l'eau environnement et genie civil,Cadre directeur,2025-08-31 00:00:00+00,Chef Departement Eau,,Grille salariale et avantages de la SEEG,2025-09-15,Pilotage technique global
391ccc64-2ee5-464f-942d-26df1719eeb6,248110aa-780e-4043-8e12-9dfe0047613c,Chef de Departement Eau,Assurer la bonne repartition des ressources humaines et materielles,Libreville,CDI avec periode d'essai,Eau,,,BAC + 5 Ingenieur en genie de l'eau environnement et genie civil,,active,,2025-08-22 10:36:58.179828+00,2025-08-22 10:36:58.179828+00,BAC + 5 Ingenieur en genie de l'eau environnement et genie civil,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Assurer la bonne repartition des ressources
ee373d45-efcb-43e0-89ef-0983ac50d8da,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Exploitation Eau,Organiser superviser la production la maintenance des installations hydriques,Libreville,CDI avec periode d'essai,Eau,,,BAC + 5 experience et connaissance approfondie dans le domaine du traitement de l'eau potable,,active,,2025-08-22 11:17:24.782973+00,2025-08-22 11:17:24.782973+00,BAC + 5 experience et connaissance approfondie dans le domaine du traitement de l'eau potable,Cadre directeur,2025-08-31 00:00:00+00,Chef de Departement Eau,,Grille salariale et avantages de la SEEG,2025-09-15,Organiser superviser la production
c5a649a7-8230-4f89-ac5d-55f2464421e1,248110aa-780e-4043-8e12-9dfe0047613c,Directeur du Capital Humain,Definir piloter et mettre en oeuvre la politique de management et de gestion des ressources humaines,Libreville,CDI avec periode d'essai,Support,,,Etre titulaire d'un diplome de niveau Bac + 5 en Ressources Humaines Droit Social,,active,,2025-08-22 06:51:44.655024+00,2025-08-22 06:51:44.655024+00,Etre titulaire d'un diplome de niveau Bac + 5 en Ressources Humaines Droit Social,Cadre directeur,2025-08-31 00:00:00+00,Chef de Departement Support,,Grille salariale et avantages de la SEEG,2025-09-15,Definir piloter la politique de management
2f62f69e-8f00-4d5d-9f5b-f37462a55dee,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Audit et Controle interne,Evaluation et amelioration de l'efficacite des processus de gestion des risques de controle et de gouvernance,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Audit Controle de gestion Finance ou equivalent,,active,,2025-08-22 06:52:15.123456+00,2025-08-22 06:52:15.123456+00,BAC + 5 en Audit Controle de gestion Finance ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Evaluation et amelioration des processus
436331ac-ce6e-428c-bbb6-dad1841f8e85,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Qualite Hygiene Securite et Environnement,Garant de la mise en oeuvre et du respect des politiques Qualite Hygiene Securite et Environnement,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Qualite Securite Environnement ou equivalent,,active,,2025-08-22 06:52:45.789012+00,2025-08-22 06:52:45.789012+00,BAC + 5 en Qualite Securite Environnement ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Garant des politiques QHSE
ae568fd8-4525-4a2f-a07e-6eca034663ee,6b35be8c-fe50-4618-8187-2de1d1c145fe,Directeur Exploitation Electricite,Gestion et supervision de l'exploitation des installations electriques,Port-Gentil,CDI avec periode d'essai,Support,,,BAC + 5 en Genie electrique ou equivalent,,draft,,2025-08-25 00:18:05.347951+00,2025-08-25 00:18:05.347951+00,BAC + 5 en Genie electrique ou equivalent,Cadre,2025-08-31 00:00:00+00,Chef Departement Electricite,,grille salariale,2025-09-15,Gestion des installations electriques
f426f59a-97b5-4bd1-b260-165dec5362bf,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Moyens Generaux,Fournir aux collaborateurs un environnement de travail fonctionnel securise et agreable,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Management ou equivalent,,active,,2025-08-22 06:53:15.456789+00,2025-08-22 06:53:15.456789+00,BAC + 5 en Management ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Chef de Departement Support,,Grille salariale et avantages de la SEEG,2025-09-15,Gestion des moyens generaux
42d50462-fa96-4e5d-888e-5bf82c9a3482,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Juridique Communication et RSE,Garantir la conformite legale la coherence de l'image de l'entreprise et l'integration des enjeux de developpement durable,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Droit ou equivalent,,active,,2025-08-22 06:53:45.123456+00,2025-08-22 06:53:45.123456+00,BAC + 5 en Droit ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Garantir la conformite legale
c34e8321-c9ab-4884-902d-ce19d977bd90,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Commercial et Relations Clients,Developper et piloter la strategie commerciale et les relations clients,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Commerce Marketing ou equivalent,,active,,2025-08-22 06:54:15.789012+00,2025-08-22 06:54:15.789012+00,BAC + 5 en Commerce Marketing ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Developper la strategie commerciale
3dc73269-03b2-42cb-a608-2943ed45731b,248110aa-780e-4043-8e12-9dfe0047613c,Chef de Departement Support,Assurer la coordination et le pilotage des services support,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Management ou equivalent,,active,,2025-08-22 06:54:45.456789+00,2025-08-22 06:54:45.456789+00,BAC + 5 en Management ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Coordination des services support
90d01e79-ec95-40a6-9f78-9919f9a37073,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Finances et Comptabilite,Piloter la gestion financiere et comptable de l'entreprise,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Finance Comptabilite ou equivalent,,active,,2025-08-22 06:55:15.123456+00,2025-08-22 06:55:15.123456+00,BAC + 5 en Finance Comptabilite ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Piloter la gestion financiere
41112afb-d778-4c2b-bb86-f9ee3b6ca5a4,248110aa-780e-4043-8e12-9dfe0047613c,Directeur des Systemes d'Information,Piloter la strategie et la gestion des systemes d'information,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Informatique ou equivalent,,active,,2025-08-22 06:55:45.789012+00,2025-08-22 06:55:45.789012+00,BAC + 5 en Informatique ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Piloter les systemes d'information
707a8b92-4043-44c9-8a52-6c5b09cbb74c,248110aa-780e-4043-8e12-9dfe0047613c,Coordonnateur des Regions,Coordonner les activites regionales de l'entreprise,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 en Management ou equivalent,,active,,2025-08-22 06:56:15.456789+00,2025-08-22 06:56:15.456789+00,BAC + 5 en Management ou equivalent,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Coordonner les activites regionales
b74da020-0a51-41b3-94e6-b9721d0ecf5d,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Technique Electricite,Pilotage technique global des installations electriques,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 Ingenieur en genie electrique,,active,,2025-08-22 06:56:45.123456+00,2025-08-22 06:56:45.123456+00,BAC + 5 Ingenieur en genie electrique,Cadre directeur,2025-08-31 00:00:00+00,Chef Departement Electricite,,Grille salariale et avantages de la SEEG,2025-09-15,Pilotage technique electrique
f4b7df17-95ac-4252-b057-e3503d072364,248110aa-780e-4043-8e12-9dfe0047613c,Chef de Departement Electricite,Assurer la coordination des activites du departement electricite,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 Ingenieur en genie electrique,,active,,2025-08-22 06:57:15.789012+00,2025-08-22 06:57:15.789012+00,BAC + 5 Ingenieur en genie electrique,Cadre directeur,2025-08-31 00:00:00+00,Administrateur Directeur General,,Grille salariale et avantages de la SEEG,2025-09-15,Coordination du departement electricite
02108894-2219-4f32-8efa-942288a67495,248110aa-780e-4043-8e12-9dfe0047613c,Directeur Exploitation Electricite,Organiser superviser la production et la maintenance des installations electriques,Libreville,CDI avec periode d'essai,Support,,,BAC + 5 experience dans le domaine electrique,,active,,2025-08-22 06:57:45.456789+00,2025-08-22 06:57:45.456789+00,BAC + 5 experience dans le domaine electrique,Cadre directeur,2025-08-31 00:00:00+00,Chef de Departement Electricite,,Grille salariale et avantages de la SEEG,2025-09-15,Organiser la production electrique
